DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/01/01 16:52:00,AQUA_M-T,Brasil,BAHIA,PLANALTINO,Caatinga,13,0.0,1.0,27.8,-13.1181,-40.22525
2025/01/01 16:52:00,AQUA_M-T,Brasil,BAHIA,ENTRE RIOS,Mata Atlântica,-999,0.0,0.89,343.0,-12.3174,-37.89132
2025/01/01 16:52:00,AQUA_M-T,Brasil,BAHIA,REMANSO,Caatinga,0,0.0,1.0,34.5,-9.8277,-42.26517
2025/01/01 16:52:00,AQUA_M-T,Brasil,PERNAMBUCO,AFRÂNIO,Caatinga,14,0.0,1.0,28.3,-8.65021,-41.10985
2025/01/01 16:52:00,AQUA_M-T,Brasil,PERNAMBUCO,CAPOEIRAS,Caatinga,15,0.0,1.0,25.1,-8.70269,-36.59476
2025/01/01 16:52:00,AQUA_M-T,Brasil,BAHIA,PLANALTINO,Caatinga,12,0.0,1.0,27.6,-13.10927,-40.21904
2025/01/01 16:52:00,AQUA_M-T,Brasil,BAHIA,ENTRE RIOS,Mata Atlântica,-999,0.0,0.88,59.8,-12.30725,-37.89272
2025/01/01 16:52:00,AQUA_M-T,Brasil,PERNAMBUCO,MORENO,Mata Atlântica,26,0.0,1.0,14.8,-8.09243,-35.1795
2025/01/01 16:52:00,AQUA_M-T,Brasil,PERNAMBUCO,AFRÂNIO,Caatinga,14,0.0,1.0,25.3,-8.6588,-41.11562
2025/01/01 16:52:00,AQUA_M-T,Brasil,BAHIA,ENTRE RIOS,Mata Atlântica,-999,0.0,0.84,279.7,-12.31578,-37.87934
2025/01/01 16:52:00,AQUA_M-T,Brasil,PERNAMBUCO,SAIRÉ,Caatinga,25,0.0,1.0,32.4,-8.27684,-35.73787
2025/01/01 16:52:00,AQUA_M-T,Brasil,SERGIPE,ITABAIANA,Mata Atlântica,30,0.0,1.0,28.5,-10.60538,-37.47723
2025/01/01 16:52:00,AQUA_M-T,Brasil,PERNAMBUCO,POMBOS,Mata Atlântica,30,0.0,1.0,10.2,-8.19339,-35.36697
